nombre,tipo,nulos_pct,distintos,rango,descripcion
post_id,int64,0.0,3788,361869212652023 – 5694827593879671,Publicación donde se mencionó el lugar; une con publicaciones_aguah
location_type,str,0.0,2,,"Cómo nombró el aviso el lugar: 'colonia' si dio el nombre del asentamiento, 'cruce' si dio un cruce de calles"
raw_text,str,0.0,2002,,"El lugar tal como lo nombra la publicación, ya normalizado"
colonia_id,str,2.3553287005719206,562,,"Asentamiento al que corresponde el lugar; une con colonias_hermosillo. En las menciones de colonia es un dato observado (el aviso la nombró); en los cruces es inferido (la colonia donde cae el punto, o la más cercana). Nulo solo cuando match_method es unmatched"
lat,float64,90.9784146116475,1021,28.992135 – 29.17816,Latitud del cruce geocodificado (EPSG:4326). Presente solo cuando match_method es cruce_geocodificado: las menciones de colonia no llevan punto (una colonia es un polígono y su geometría está en colonias_hermosillo) y los cruces unmatched no se pudieron ubicar
lon,float64,90.9784146116475,1017,-111.065393 – -110.91486,"Longitud del cruce geocodificado (EPSG:4326); presente solo cuando match_method es cruce_geocodificado, igual que lat"
source_field,str,0.0,3,,"Dónde se encontró la mención: 'texto' en el cuerpo de la publicación, 'ocr' solo en el volante, 'ambos' si aparece en los dos"
match_method,str,0.0,4,,"Cómo se resolvió: colonia_con_marcador (el texto dice 'colonia X'), colonia_en_catalogo (el nombre aparece suelto, típico de las tablas de los volantes), cruce_geocodificado o unmatched. Es el indicador de confianza de la fila: las menciones con marcador explícito son más seguras que un nombre suelto"
